Season,Name,Tm,PA,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId
2002,Garret Anderson,ANA,678.00,0.9591,0.2399,0.3721,0.3880,0.0682,0.1318,0.0379,1.0000,0.5176,0.2606,0.2218,0.0951,0.6092,0.2958,2.00
2002,David Eckstein,ANA,702.00,1.3370,0.2323,0.4392,0.3285,0.1602,0.0442,0.0909,0.3429,0.4215,0.2799,0.2986,0.1918,0.6781,0.1301,10.00
2002,Darin Erstad,ANA,663.00,1.5858,0.2154,0.4811,0.3034,0.1361,0.0592,0.0746,0.3000,0.3739,0.3104,0.3157,0.1693,0.6296,0.2011,11.00
2002,Brad Fullmer,ANA,479.00,0.7119,0.2191,0.3247,0.4562,0.1017,0.1073,0.0397,0.0000,0.4897,0.2835,0.2268,0.1237,0.6108,0.2655,13.00
2002,Troy Glaus,ANA,671.00,0.9050,0.2125,0.3741,0.4134,0.1061,0.1676,0.0247,0.0000,0.5358,0.2286,0.2356,0.1157,0.6273,0.2569,15.00
2002,Adam Kennedy,ANA,509.00,0.8733,0.2701,0.3403,0.3896,0.0667,0.0467,0.0534,0.2778,0.3772,0.2804,0.3424,0.1343,0.6493,0.2164,19.00
2002,Bengie Molina,ANA,459.00,1.2411,0.2100,0.4375,0.3525,0.0709,0.0355,0.0229,0.0000,0.3300,0.3842,0.2857,0.1527,0.6970,0.1502,24.00
2002,Orlando Palmeiro,ANA,300.00,1.3210,0.2199,0.4440,0.3361,0.1235,0.0000,0.0935,0.2857,0.3427,0.2782,0.3790,0.1417,0.6559,0.2024,28.00
2002,Tim Salmon,ANA,568.00,0.8110,0.2345,0.3428,0.4227,0.0915,0.1341,0.1128,0.0000,0.4845,0.2938,0.2216,0.1186,0.6134,0.2680,32.00
2002,Scott Spiezio,ANA,571.00,0.7143,0.2180,0.3258,0.4562,0.1724,0.0591,0.0414,0.0000,0.4821,0.2768,0.2411,0.1607,0.6362,0.2031,37.00
2002,Craig Counsell,ARI,491.00,2.0632,0.2302,0.5185,0.2513,0.1474,0.0211,0.0765,0.3077,0.3939,0.2839,0.3223,0.1611,0.6573,0.1816,52.00
2002,Steve Finley,ARI,577.00,1.1304,0.2005,0.4242,0.3753,0.1801,0.1553,0.0549,0.2857,0.4977,0.2867,0.2156,0.1514,0.5734,0.2752,54.00
2002,Luis Gonzalez,ARI,633.00,0.9508,0.2154,0.3824,0.4022,0.1421,0.1530,0.0575,0.0000,0.4396,0.3319,0.2286,0.1560,0.6066,0.2374,55.00
2002,Mark Grace,ARI,348.00,1.2688,0.2214,0.4354,0.3432,0.0860,0.0753,0.0508,0.0000,0.4170,0.3026,0.2804,0.1255,0.7085,0.1661,56.00
2002,Jose Guillen,2 Tms,259.00,1.7759,0.1744,0.5282,0.2974,0.0690,0.1379,0.0388,0.2500,0.4322,0.2814,0.2864,0.1307,0.6734,0.1960,57.00
2002,Damian Miller,ARI,340.00,1.8276,0.2153,0.5072,0.2775,0.0862,0.1897,0.0566,0.5000,0.4408,0.3128,0.2464,0.1196,0.6603,0.2201,65.00
2002,Junior Spivey,ARI,626.00,1.1524,0.2050,0.4257,0.3694,0.1037,0.0976,0.1058,0.0000,0.4629,0.3101,0.2270,0.1351,0.5946,0.2703,74.00
2002,Matt Williams,ARI,238.00,1.0597,0.2159,0.4034,0.3807,0.1493,0.1791,0.0704,0.0000,0.4545,0.3352,0.2102,0.1477,0.5966,0.2557,77.00
2002,Tony Womack,ARI,652.00,1.5874,0.2495,0.4604,0.2901,0.1608,0.0350,0.0793,0.5862,0.3238,0.2854,0.3908,0.1958,0.6737,0.1305,78.00
2002,Henry Blanco,ATL,249.00,0.8442,0.1886,0.3714,0.4400,0.1039,0.0779,0.0923,0.0000,0.4407,0.3107,0.2486,0.1582,0.6554,0.1864,81.00
2002,Darren Bragg,ATL,240.00,1.2909,0.2125,0.4438,0.3438,0.1273,0.0545,0.1268,0.5000,0.3827,0.3210,0.2963,0.1242,0.6584,0.2174,83.00
2002,Vinny Castilla,ATL,578.00,1.0860,0.1917,0.4208,0.3875,0.1452,0.0645,0.0644,0.0000,0.4354,0.3021,0.2625,0.1333,0.6646,0.2021,84.00
2002,Julio Franco,ATL,383.00,3.1702,0.2604,0.5623,0.1774,0.0213,0.1277,0.0403,0.0000,0.2239,0.3134,0.4627,0.0933,0.6642,0.2425,87.00
2002,Rafael Furcal,ATL,693.00,2.0551,0.1950,0.5415,0.2635,0.0945,0.0630,0.0460,0.3922,0.3809,0.2777,0.3415,0.1861,0.6128,0.2011,88.00
2002,Marcus Giles,ATL,242.00,1.1774,0.2151,0.4244,0.3605,0.1129,0.1290,0.0548,0.0000,0.4770,0.2816,0.2414,0.1092,0.7241,0.1667,89.00
2002,Wes Helms,ATL,231.00,0.8209,0.2327,0.3459,0.4214,0.0597,0.0896,0.0909,0.0000,0.3875,0.2750,0.3375,0.1625,0.5875,0.2500,94.00
2002,Andruw Jones,ATL,659.00,1.1104,0.2019,0.4200,0.3782,0.1350,0.2147,0.0773,0.0000,0.5615,0.2552,0.1833,0.1485,0.5777,0.2738,96.00
2002,Chipper Jones,ATL,662.00,1.2387,0.2505,0.4147,0.3348,0.0710,0.1677,0.0260,1.0000,0.4526,0.2694,0.2780,0.1034,0.6272,0.2694,97.00
2002,George Lombard,DET,270.00,1.0833,0.1935,0.4194,0.3871,0.1167,0.0833,0.0154,0.1875,0.4620,0.2047,0.3333,0.1696,0.6023,0.2281,101.00
2002,Javy Lopez,ATL,385.00,1.8171,0.1979,0.5174,0.2847,0.1463,0.1341,0.0403,0.0000,0.4410,0.3194,0.2396,0.1215,0.6424,0.2361,103.00
2002,Gary Sheffield,ATL,579.00,1.0682,0.1783,0.4244,0.3973,0.1591,0.1420,0.0957,0.0000,0.5305,0.2957,0.1738,0.1565,0.5374,0.3061,114.00
2002,Tony Batista,BAL,682.00,0.5298,0.1518,0.2938,0.5545,0.1895,0.1088,0.0530,0.0000,0.5856,0.2374,0.1770,0.1751,0.5700,0.2549,124.00
2002,Mike Bordick,BAL,413.00,0.9160,0.1716,0.3960,0.4323,0.1985,0.0611,0.0667,0.1111,0.4519,0.3013,0.2468,0.1891,0.6410,0.1699,129.00
2002,Jeff Conine,BAL,488.00,0.9455,0.1873,0.3949,0.4177,0.1030,0.0909,0.0577,0.0000,0.4253,0.2658,0.3089,0.1266,0.6076,0.2658,131.00
2002,Marty Cordova,BAL,513.00,1.2093,0.1857,0.4457,0.3686,0.1395,0.1395,0.0513,0.0000,0.4460,0.3097,0.2443,0.1563,0.5767,0.2670,132.00
2002,Jay Gibbons,BAL,541.00,0.9722,0.1706,0.4089,0.4206,0.1333,0.1556,0.0229,0.0000,0.5023,0.2570,0.2407,0.1706,0.5794,0.2500,141.00
2002,Geronimo Gil,BAL,450.00,1.5294,0.2275,0.4671,0.3054,0.1176,0.1176,0.0641,0.0000,0.4441,0.2559,0.3000,0.1794,0.5912,0.2294,142.00
2002,Jerry Hairston,BAL,479.00,0.9155,0.2402,0.3631,0.3966,0.1549,0.0352,0.0846,0.2800,0.5274,0.2141,0.2585,0.1749,0.6240,0.2010,144.00
2002,Gary Matthews,2 Tms,398.00,2.1571,0.2107,0.5393,0.2500,0.2286,0.1000,0.0861,0.0000,0.4702,0.2667,0.2632,0.1754,0.6070,0.2175,153.00
2002,Melvin Mora,BAL,652.00,0.7732,0.2182,0.3409,0.4409,0.1031,0.0979,0.0600,0.0714,0.5242,0.2621,0.2137,0.1454,0.6167,0.2379,157.00
2002,Chris Singleton,BAL,502.00,1.3203,0.2016,0.4543,0.3441,0.1094,0.0703,0.0592,0.3182,0.4772,0.2868,0.2360,0.1472,0.6244,0.2284,170.00
2002,Carlos Baerga,BOS,194.00,2.4865,0.2086,0.5644,0.2270,0.0811,0.0541,0.0217,0.5000,0.4788,0.2727,0.2485,0.1273,0.6424,0.2303,175.00
2002,Tony Clark,BOS,298.00,1.3418,0.1553,0.4840,0.3607,0.1139,0.0380,0.0472,0.0000,0.4703,0.2557,0.2740,0.1872,0.6119,0.2009,182.00
2002,Johnny Damon,BOS,702.00,1.2857,0.2131,0.4426,0.3443,0.1852,0.0741,0.1070,0.5000,0.4831,0.2246,0.2923,0.1711,0.6453,0.1836,185.00
2002,Brian Daubach,BOS,506.00,0.9675,0.2461,0.3707,0.3832,0.0569,0.1626,0.0420,1.0000,0.4410,0.2453,0.3137,0.0963,0.6273,0.2764,186.00
2002,Nomar Garciaparra,BOS,693.00,0.7171,0.2401,0.3173,0.4425,0.1124,0.0930,0.0757,0.0000,0.4803,0.3019,0.2178,0.1254,0.6117,0.2629,190.00
2002,Rickey Henderson,BOS,222.00,1.4222,0.1805,0.4812,0.3383,0.0667,0.1111,0.0625,0.0000,0.4812,0.2707,0.2481,0.1805,0.6090,0.2105,194.00
2002,Shea Hillenbrand,BOS,676.00,1.4624,0.2155,0.4659,0.3186,0.1618,0.1040,0.0909,0.0000,0.4393,0.2978,0.2629,0.1750,0.5856,0.2394,196.00
2002,Lou Merloni,BOS,222.00,0.8507,0.2250,0.3563,0.4188,0.1791,0.0597,0.0702,0.0000,0.5247,0.2531,0.2222,0.1358,0.6420,0.2222,201.00
2002,Trot Nixon,BOS,612.00,0.8333,0.2051,0.3613,0.4336,0.1022,0.1290,0.0581,0.2500,0.4296,0.3048,0.2656,0.1319,0.6227,0.2454,204.00
2002,Jose Offerman,2 Tms,326.00,1.5526,0.2016,0.4856,0.3128,0.1184,0.0658,0.0847,0.5714,0.4600,0.3200,0.2200,0.1160,0.7160,0.1680,205.00
2002,Manny Ramirez,BOS,518.00,1.4673,0.2500,0.4460,0.3040,0.0654,0.3084,0.0637,0.0000,0.4545,0.2926,0.2528,0.0994,0.5511,0.3494,210.00
2002,Rey Sanchez,BOS,386.00,1.8617,0.1824,0.5319,0.2857,0.1277,0.0106,0.0571,0.1429,0.3810,0.3185,0.3006,0.1369,0.7321,0.1310,213.00
2002,Jason Varitek,BOS,519.00,1.1985,0.2195,0.4255,0.3550,0.1069,0.0763,0.0382,0.2857,0.4335,0.2926,0.2739,0.1383,0.6117,0.2500,217.00
2002,Sandy Alomar Jr.,2 Tms,296.00,1.4390,0.2032,0.4701,0.3267,0.1341,0.0854,0.0593,0.5000,0.4862,0.2174,0.2964,0.1349,0.6984,0.1667,221.00
2002,Royce Clayton,CHW,376.00,1.9459,0.2101,0.5217,0.2681,0.0676,0.0946,0.0694,0.1000,0.4336,0.2587,0.3077,0.1439,0.6667,0.1895,226.00
2002,Joe Crede,CHW,209.00,0.7286,0.2484,0.3168,0.4348,0.2143,0.1714,0.0392,0.0000,0.4969,0.1677,0.3354,0.1429,0.5901,0.2671,227.00
2002,Ray Durham,2 Tms,659.00,1.2561,0.2161,0.4364,0.3475,0.0976,0.0915,0.0680,0.2857,0.3745,0.2634,0.3621,0.1258,0.6495,0.2247,230.00
2002,Tony Graffanino,CHW,259.00,1.2000,0.1852,0.4444,0.3704,0.1714,0.0857,0.1071,0.2857,0.4082,0.2704,0.3214,0.1786,0.5765,0.2449,235.00
2002,Mark Johnson,CHW,302.00,1.0633,0.2049,0.4098,0.3854,0.1266,0.0506,0.0119,0.3333,0.4747,0.2903,0.2350,0.1429,0.6820,0.1751,240.00
2002,Paul Konerko,CHW,630.00,1.1803,0.2083,0.4286,0.3631,0.1257,0.1475,0.0417,0.0000,0.5218,0.2460,0.2321,0.1190,0.6012,0.2798,242.00
2002,Carlos Lee,CHW,576.00,0.6497,0.2317,0.3026,0.4657,0.1320,0.1320,0.0391,0.6667,0.4977,0.2488,0.2535,0.1244,0.6268,0.2488,243.00
2002,Jeff Liefer,CHW,224.00,1.3265,0.2138,0.4483,0.3379,0.1224,0.1429,0.0462,0.0000,0.5172,0.2828,0.2000,0.1379,0.5862,0.2759,245.00
2002,Kenny Lofton,2 Tms,611.00,1.1875,0.1860,0.4419,0.3721,0.1000,0.0688,0.0474,0.4286,0.3677,0.2774,0.3548,0.1634,0.6516,0.1849,246.00
2002,Magglio Ordonez,CHW,654.00,1.1250,0.2093,0.4186,0.3721,0.0938,0.1979,0.0417,0.0000,0.4729,0.2558,0.2713,0.1223,0.6175,0.2602,248.00
2002,Aaron Rowand,CHW,331.00,1.6757,0.1852,0.5103,0.3045,0.1486,0.0946,0.0323,0.4375,0.4595,0.2703,0.2703,0.1822,0.5659,0.2519,254.00
2002,Frank Thomas,CHW,628.00,0.3966,0.2081,0.2249,0.5670,0.1603,0.1181,0.0532,0.0000,0.4713,0.2536,0.2751,0.1722,0.5622,0.2656,255.00
2002,Jose Valentin,CHW,527.00,0.7988,0.2154,0.3484,0.4362,0.0976,0.1524,0.0382,0.4286,0.5117,0.2089,0.2794,0.1514,0.5796,0.2689,256.00
2002,Moises Alou,CHC,534.00,1.0373,0.2300,0.3920,0.3779,0.0994,0.0932,0.0240,0.0000,0.4272,0.3216,0.2512,0.1103,0.6315,0.2582,261.00
2002,Mark Bellhorn,CHC,529.00,0.7609,0.1873,0.3512,0.4615,0.1304,0.1957,0.0571,0.2500,0.5446,0.2277,0.2277,0.1551,0.5446,0.3003,264.00
2002,Roosevelt Brown,CHC,231.00,1.7826,0.1742,0.5290,0.2968,0.1304,0.0652,0.0488,0.0000,0.5097,0.2323,0.2581,0.1161,0.6065,0.2774,268.00
2002,Joe Girardi,CHC,256.00,2.2308,0.1600,0.5800,0.2600,0.0962,0.0192,0.0776,0.0000,0.3317,0.3171,0.3512,0.1610,0.6927,0.1463,280.00
2002,Alex Gonzalez,CHC,568.00,1.2734,0.2281,0.4324,0.3395,0.1328,0.1406,0.0613,0.0000,0.4360,0.3055,0.2585,0.1514,0.5953,0.2533,281.00
2002,Bobby Hill,CHC,215.00,1.8750,0.2069,0.5172,0.2759,0.1000,0.1000,0.0133,0.1429,0.4145,0.2829,0.3026,0.1842,0.6184,0.1974,283.00
2002,Todd Hundley,CHC,303.00,0.8161,0.1551,0.3797,0.4652,0.1494,0.1839,0.0423,0.0000,0.5691,0.2074,0.2234,0.1755,0.5426,0.2819,284.00
2002,Robert Machado,2 Tms,233.00,1.1639,0.2326,0.4128,0.3547,0.0492,0.0492,0.0563,0.0000,0.4023,0.3333,0.2644,0.1503,0.6069,0.2428,289.00
2002,Fred McGriff,CHC,595.00,0.8691,0.1678,0.3869,0.4452,0.0838,0.1571,0.0482,0.0000,0.4755,0.3030,0.2214,0.1235,0.5455,0.3310,293.00
