Symbol,Name,Exchange,Last,Industry,Sector,SIC Description
A,Agilent Technologies,NYSE,96.91,Electronic Test Equipment,Computers and Technology,N/A
AA,Alcoa Corp,NYSE,11.64,Metal Products - Distribution,Basic Materials,SIC-3334 Primary Production of Aluminium
AACG,Ata Creativity Global,NASDAQ,1.08,Schools,Consumer Discretionary,SIC-8200 Services-Educational Services
AAL,American Airlines Gp,NASDAQ,11.93,Transportation - Airline,Transportation,N/A
AAME,Atlantic Amer Cp,NASDAQ,1.98,Insurance - Accident & Health,Finance,SIC-6311 Life Insurance
AAN,Aaron's Inc,NYSE,56.21,Retail - Consumer Electronics,Retail-Wholesale,"SIC-7359 Services-Equipment Rental & Leasing, NEC"
AAOI,Applied Optoelect,NASDAQ,10.46,Electronics - Semiconductors,Computers and Technology,SIC-3674 Semiconductors & Related Devices
AAON,Aaon Inc,NASDAQ,56.28,Building Prdcts - Air Heating,Construction,SIC-3585 Air-Cond & Warm Air Heatg Equip & Comm & Ind
AAP,Advance Auto Parts Inc,NYSE,146.45,Retail - Wholesale Auto Parts,Retail-Wholesale,SIC-5531 Retail-Auto & Home Supply Stores
AAPL,Apple Inc,NASDAQ,107.12,Computer - Mini,Computers and Technology,N/A
AAT,American Assets Trust,NYSE,23.03,REIT - Equity Trust Retail,Finance,SIC-6798 Real Estate Investment Trusts
AAU,Almaden Minerals,NYSE Arca,0.84,Mining - Gold,Basic Materials,N/A
AAWW,Atlas Air Ww,NASDAQ,60.61,Transportation - Air Freight,Transportation,"SIC-4522 Air Transportation, Nonscheduled"
AAXN,Axon Inc,NASDAQ,86.71,Protection - Safety,Industrial Products,"SIC-3480 Ordnance & Accessories, (No Vehicles/Guided"
ABB,Abb Ltd,NYSE,24.8,Machinery - Electrical,Industrial Products,SIC-3613 Switchgear & Switchboard Apparatus
ABBV,Abbvie Inc,NYSE,87.14,Large Cap Pharma,Medical,N/A
ABC,Amerisourcebergen Corp,NYSE,94.14,Medical - Dental Suppliers,Medical,"SIC-5122 Wholesale-Drugs, Proprietaries & Druggists"
ABCB,Ameris Bancorp,NASDAQ,21.18,Banks - Southeast,Finance,SIC-6022 State Commercial Banks
ABEO,Abeona Therapeutics,NASDAQ,1.83,Medical - Biomedical,Medical,SIC-2834 Pharmaceutical Preparations
ABEV,Ambev S.A.,NYSE,2.24,Beverages - Alcohol,Consumer Staples,SIC-2080 Beverages
ABG,Asbury Automotive Group Inc,NYSE,95.93,Retail - Wsale Auto & Trucks,Retail-Wholesale,SIC-5500 Retail-Auto Dealers & Gasoline Stations
ABIO,Arca Biopharma Inc,NASDAQ,4.18,Medical - Biomedical,Medical,SIC-2835 In Vitro & In Vivo Diagnostic Substances
ABM,ABM Industries Inc,NYSE,36.18,Building - Maint & Service,Construction,SIC-7340 Services-To Dwellings & Other Buildings
ABMD,Abiomed Inc,NASDAQ,260.11,Medical Instruments,Medical,SIC-3841 Surgical & Medical Instruments & Apparatus
ABR,Arbor Realty Trust,NYSE,11.06,REIT - Equity Trust Other,Finance,SIC-6798 Real Estate Investment Trusts
ABT,Abbott Laboratories,NYSE,102.73,Medical Products,Medical,N/A
ABTX,Allegiance Banc CS,NASDAQ,21.7,Banks - Southeast,Finance,SIC-6022 State Commercial Banks
ABUS,Arbutus Biopharma Cp,NASDAQ,2.94,Medical - Biomedical,Medical,SIC-2834 Pharmaceutical Preparations
ACA,Arcosa Inc,NYSE,42.99,Building & Construction - Misc,Construction,SIC-3440 Fabricated Structural Metal Products
ACAD,Acadia Pharmaceutica,NASDAQ,40.45,Medical - Biomedical,Medical,SIC-2834 Pharmaceutical Preparations
ACB,Aurora Cannabis Inc,NYSE,5.17,Medical Products,Medical,SIC-2833 Medicinal Chemicals & Botanical Products
ACBI,Atlantic Capital,NASDAQ,10.57,Banks - Northeast,Finance,SIC-6022 State Commercial Banks
ACC,American Campus Communities Inc,NYSE,33.07,REIT - Equity Trust Resident,Finance,SIC-6798 Real Estate Investment Trusts
ACCD,Accolade Inc,NASDAQ,30.34,Technology Services,Business Services,N/A
ACCO,Acco Brands Corp,NYSE,5.68,Office Supply & Forms,Industrial Products,"SIC-2780 Blankbooks, Looseleaf Binders & Bookbindg &"
ACEL,Accel Entertainment Inc,NYSE,10.58,Gaming,Consumer Discretionary,SIC-7900 Services-Amusement & Recreation Services
ACER,Acer Therapeutics Inc,NASDAQ,2.46,Medical - Drugs,Medical,SIC-2834 Pharmaceutical Preparations
ACET,Adicet Bio Inc,NASDAQ,11.27,Medical - Biomedical,Medical,SIC-2834 Pharmaceutical Preparations
