Season,Name,Tm,IP,TBF,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId
2002,Kevin Appier,ANA,188.1,795,0.7649,0.1859,0.3528,0.4613,0.1119,0.0858,0.0585,0.6364,0.4493,0.3057,0.2449,0.1554,0.6250,0.2196,3
2002,Al Levine,ANA,63.2,286,1.3143,0.2174,0.4444,0.3382,0.0571,0.1143,0.0217,0.0000,0.3429,0.3619,0.2952,0.1048,0.6333,0.2619,20
2002,Ramon Ortiz,ANA,217.1,896,1.0661,0.1843,0.4209,0.3948,0.1323,0.1556,0.0547,0.1000,0.4418,0.2648,0.2935,0.1165,0.6626,0.2209,27
2002,Scott Schoeneweis,ANA,118.0,510,1.3111,0.1875,0.4609,0.3516,0.0815,0.1259,0.0847,0.4286,0.4271,0.3350,0.2379,0.1285,0.6581,0.2134,33
2002,Aaron Sele,ANA,160.0,706,1.1414,0.2696,0.3893,0.3411,0.0733,0.1099,0.0642,0.0000,0.4313,0.2940,0.2746,0.1356,0.6391,0.2254,34
2002,Jarrod Washburn,ANA,206.0,852,0.6306,0.2012,0.3089,0.4899,0.1083,0.0605,0.0707,0.2000,0.3856,0.2550,0.3594,0.1352,0.6452,0.2197,40
2002,Ben Weber,ANA,78.0,312,2.9200,0.1730,0.6160,0.2110,0.0600,0.0800,0.0274,0.1429,0.4877,0.3115,0.2008,0.1646,0.6749,0.1605,41
2002,Brian Anderson,ARI,156.0,659,1.0243,0.2176,0.3959,0.3865,0.1117,0.1117,0.0332,0.1667,0.3798,0.3505,0.2697,0.1303,0.6422,0.2275,44
2002,Miguel Batista,ARI,184.2,790,1.7310,0.2031,0.5051,0.2918,0.0936,0.0702,0.0473,0.2500,0.4651,0.2924,0.2425,0.1628,0.6595,0.1777,46
2002,Rick Helling,ARI,175.2,751,0.6977,0.2094,0.3249,0.4657,0.1318,0.1202,0.0722,0.3043,0.3865,0.3293,0.2842,0.1872,0.5667,0.2461,58
2002,Randy Johnson,ARI,260.0,1035,1.3558,0.1901,0.4661,0.3438,0.0962,0.1250,0.0638,0.4167,0.4603,0.3063,0.2334,0.1317,0.6179,0.2504,60
2002,Byung-Hyun Kim,ARI,84.0,343,1.7015,0.1581,0.5302,0.3116,0.1493,0.0746,0.0877,0.2500,0.3973,0.2329,0.3699,0.1521,0.6682,0.1797,61
2002,Mike Koplove,ARI,61.2,249,2.5500,0.1792,0.5896,0.2312,0.1750,0.0500,0.0686,0.1429,0.4500,0.2556,0.2944,0.1833,0.6611,0.1556,63
2002,Curt Schilling,ARI,259.1,1017,1.1574,0.2200,0.4185,0.3615,0.1106,0.1234,0.0588,0.2000,0.4165,0.2737,0.3098,0.1098,0.6662,0.2241,73
2002,Tom Glavine,ATL,224.2,936,1.0690,0.2241,0.4009,0.3750,0.1264,0.0805,0.0502,0.1481,0.3831,0.3375,0.2794,0.1609,0.6560,0.1831,90
2002,Chris Hammond,ATL,76.0,311,1.6308,0.1618,0.5196,0.3186,0.1538,0.0154,0.0660,0.3333,0.4444,0.2963,0.2593,0.2083,0.6667,0.1250,92
2002,Kerry Ligtenberg,ATL,66.2,281,0.7558,0.2053,0.3421,0.4526,0.1744,0.0698,0.0308,0.2857,0.4365,0.2893,0.2741,0.1929,0.6294,0.1777,100
2002,Greg Maddux,ATL,199.1,820,2.2548,0.1902,0.5610,0.2488,0.0828,0.0892,0.0819,0.2727,0.4395,0.3170,0.2435,0.1562,0.6677,0.1761,104
2002,Jason Marquis,ATL,114.1,507,1.2362,0.2240,0.4290,0.3470,0.0787,0.1496,0.0446,0.0000,0.4394,0.3154,0.2453,0.1213,0.5445,0.3342,105
2002,Kevin Millwood,ATL,217.0,895,1.3659,0.2302,0.4444,0.3254,0.0732,0.0780,0.0464,0.2308,0.3904,0.3266,0.2830,0.1340,0.6277,0.2383,106
2002,Damian Moss,ATL,179.0,743,1.0941,0.1912,0.4226,0.3862,0.1238,0.0990,0.0362,0.0714,0.4302,0.3389,0.2309,0.1418,0.6250,0.2332,107
2002,Mike Remlinger,ATL,68.0,275,1.3929,0.2164,0.4561,0.3275,0.1250,0.0536,0.0641,0.1667,0.3672,0.3051,0.3277,0.1412,0.6271,0.2316,111
2002,John Smoltz,ATL,80.1,314,1.4603,0.2327,0.4554,0.3119,0.0794,0.0635,0.0652,0.0000,0.3024,0.3366,0.3610,0.1512,0.5951,0.2537,115
2002,Rick Bauer,BAL,83.2,358,1.6962,0.2082,0.4981,0.2937,0.0759,0.1519,0.0149,0.0000,0.4505,0.2857,0.2637,0.1612,0.6044,0.2344,125
2002,Travis Driskill,BAL,132.2,589,1.5036,0.2180,0.4697,0.3124,0.0791,0.1511,0.0670,0.7000,0.4945,0.3099,0.1956,0.1033,0.6198,0.2769,134
2002,Scott Erickson,BAL,160.2,719,2.4627,0.1744,0.5872,0.2384,0.0672,0.1493,0.0545,0.1429,0.4534,0.3146,0.2320,0.1617,0.6221,0.2162,137
2002,Buddy Groom,BAL,62.0,239,1.6346,0.2081,0.4913,0.3006,0.0577,0.0769,0.0588,0.5000,0.4407,0.2655,0.2938,0.1469,0.6780,0.1751,143
2002,Jason Johnson,BAL,131.1,561,1.1800,0.2120,0.4265,0.3614,0.1333,0.1267,0.0734,0.0000,0.4484,0.2830,0.2686,0.1511,0.5396,0.3094,147
2002,Jorge Julio,BAL,68.0,289,0.9759,0.1881,0.4010,0.4109,0.1084,0.0602,0.0617,0.0000,0.4049,0.2780,0.3171,0.1317,0.6049,0.2634,148
2002,Rodrigo Lopez,BAL,196.2,809,1.0570,0.2157,0.4030,0.3813,0.1184,0.1009,0.0415,0.1429,0.4463,0.2760,0.2777,0.1636,0.5967,0.2397,150
2002,Sidney Ponson,BAL,176.0,736,1.4765,0.2247,0.4622,0.3131,0.1059,0.1529,0.0558,0.2500,0.4628,0.2650,0.2722,0.1343,0.6443,0.2214,161
2002,Willis Roberts,BAL,75.0,334,1.6104,0.1762,0.5082,0.3156,0.1039,0.0649,0.0726,0.6667,0.4130,0.2955,0.2915,0.1822,0.6113,0.2065,167
2002,Rolando Arrojo,BOS,81.1,348,1.3793,0.1946,0.4669,0.3385,0.1379,0.0805,0.0917,0.1429,0.4205,0.2727,0.3068,0.1553,0.6212,0.2235,174
2002,John Burkett,BOS,173.0,760,1.1759,0.2404,0.4105,0.3491,0.1106,0.1256,0.0726,0.2500,0.4273,0.2993,0.2734,0.1404,0.6603,0.1993,179
2002,Frank Castillo,BOS,163.1,711,1.1443,0.2121,0.4205,0.3674,0.1546,0.0979,0.0676,0.5000,0.4644,0.2865,0.2491,0.1461,0.6217,0.2322,180
2002,Casey Fossum,BOS,106.2,461,1.1197,0.2298,0.4068,0.3634,0.1026,0.1026,0.0687,0.2500,0.4325,0.2883,0.2791,0.1166,0.6288,0.2546,188
2002,Derek Lowe,BOS,219.2,854,3.4762,0.1376,0.6697,0.1927,0.0873,0.0952,0.0685,0.2308,0.4828,0.2669,0.2504,0.1334,0.7121,0.1544,199
2002,Pedro Martinez,BOS,199.1,787,1.1648,0.2160,0.4218,0.3621,0.1193,0.0739,0.0683,0.5714,0.4422,0.2840,0.2738,0.1379,0.6755,0.1866,200
