Ticker,Last,Change %,Change,Rating,Volume,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector
A,96.91,-3.495,-3.51,Buy,21809133,29878322100,44.61,2.234,16300,Health Technology
AA,11.64,-20.383,-2.98,Sell,80323763,2164155360,,-3.45,13800,Non-Energy Minerals
AACQ,9.95,,,,5013665,,,,,Finance
AAL,11.93,-8.582,-1.12,Sell,930934083,6067144660,,-8.17,133700,Transportation
AAMC,20.65,-12.854,-3.05,Buy,228105,33703278,,-10.403,109,Finance
AAME,1.9815,-0.925,-0.02,Sell,62442,40529601,,-0.102,155,Finance
AAN,56.21,0.573,0.32,Buy,11140365,3773973126,,-4.181,12100,Finance
AAOI,10.46,-10.06,-1.17,Sell,11238720,238216040,,-3.923,3115,Electronic Technology
AAON,56.28,-1.142,-0.65,Buy,3535780,2941288476,43.269,1.334,2290,Producer Manufacturing
AAP,146.45,-6.308,-9.86,Buy,11139068,10125377260,23.1,6.52,67000,Retail Trade
AAPL,107.12,-16.987,-21.92,Buy,3188045386,1.85717E+12,33.992,3.318,137000,Electronic Technology
AAU,0.8418,19.353,0.14,Buy,14984461,98706101,,-0.027,,Non-Energy Minerals
AAWW,60.61,7.484,4.22,Buy,7868138,1584102960,,-9.619,3587,Transportation
AAXN,86.71,1.202,1.03,Buy,10537878,5503969276,,-0.547,1323,Electronic Technology
AB,27.01,-5.195,-1.48,Sell,6146355,2604628320,10.223,2.678,3811,Finance
ABBV,87.14,-9.011,-8.63,Buy,125988931,1.53787E+11,18.847,4.715,30000,Health Technology
ABC,94.14,-2.978,-2.89,Buy,15740722,19217927880,12.563,7.646,22000,Distribution Services
ABCB,21.18,-13.622,-3.34,Sell,6254687,1471745250,11.154,1.935,2722,Finance
ABEO,1.83,-22.128,-0.52,Sell,16680132,155149596,,-1.309,88,Health Technology
ABG,95.93,-9.32,-9.86,Buy,3077471,1850432142,12.081,8.243,8500,Retail Trade
ABIO,4.18,-23.723,-1.3,Sell,16762549,24684070,,-3.083,13,Health Technology
ABM,36.18,-5.139,-1.96,Buy,6607055,2412739278,,-0.072,140000,Commercial Services
ABMD,260.11,-15.444,-47.51,Buy,5547453,11717253203,77.383,3.518,1536,Health Technology
ABT,102.73,-6.157,-6.74,Buy,79310839,1.81887E+11,60.4,1.749,107000,Health Technology
ABTX,21.7,-14.634,-3.72,Sell,1008990,443365720,11.743,1.909,588,Finance
ABUS,2.94,1.031,0.03,Sell,40327447,243753342,,-2.455,80,Health Technology
AC,35.93,-7.038,-2.72,Strong Sell,188927,803457606,,-0.944,39,Finance
ACA,42.99,-7.129,-3.3,Buy,4897596,2078132301,18.276,2.459,6275,Producer Manufacturing
ACAD,40.45,2.172,0.86,Buy,17832232,6425684750,,-1.467,503,Health Technology
ACAM,10.36,2.255,0.23,Buy,3134881,395713979,191.651,0.054,4,Finance
ACB,5.17,-47.245,-4.63,Strong Sell,118000863,583630960,,-10.814,2779,Process Industries
ACBI,10.57,-8.366,-0.97,Sell,1436087,228368021,12.56,0.871,204,Finance
ACCD,30.34,-9.729,-3.27,,6016622,1491016824,,-1.011,1250,Technology Services
